School ID,School Name,Status as of 2021,Year,Cohort Number of Dropouts,Cohort Dropout Rates,Cohort Number of Graduates,Cohort Graduation Rates,Number of Students in Original 9th Grade Cohort,Number of Students in Adjusted 9th Grade Cohort
400121,ACERO - DE LA CRUZ,,2017,,,,,,
400121,ACERO - DE LA CRUZ,,2018,10,16.1,50,80.6,89,62
400121,ACERO - DE LA CRUZ,,2019,13,17.3,60,80,67,75
400121,ACERO - DE LA CRUZ,,2020,5,10.4,43,89.6,62,48
400121,ACERO - DE LA CRUZ,,2021,3,11.1,22,81.5,36,27
400085,ACERO - GARCIA HS,,2017,12,7.6,141,89.8,171,157
400085,ACERO - GARCIA HS,,2018,17,11.3,130,86.7,177,150
400085,ACERO - GARCIA HS,,2019,17,10.4,142,86.6,161,164
400085,ACERO - GARCIA HS,,2020,3,1.9,152,95,173,160
400085,ACERO - GARCIA HS,,2021,10,7,126,88.7,153,142
400149,ACERO - SOTO HS,,2017,,,,,,
400149,ACERO - SOTO HS,,2018,17,8.9,163,84.9,210,192
400149,ACERO - SOTO HS,,2019,37,20,135,73,201,185
400149,ACERO - SOTO HS,,2020,21,11.1,157,82.6,199,190
400149,ACERO - SOTO HS,,2021,8,6.2,115,88.5,138,130
610513,AIR FORCE HS,,2017,11,11.2,85,86.7,117,98
610513,AIR FORCE HS,,2018,11,15.1,60,82.2,105,73
610513,AIR FORCE HS,,2019,11,11.5,81,84.4,82,96
610513,AIR FORCE HS,,2020,18,19.4,74,79.6,103,93
610513,AIR FORCE HS,,2021,9,10.1,73,82,99,89
610524,ALCOTT HS,,2017,5,7.9,56,88.9,70,63
610524,ALCOTT HS,,2018,11,15.1,62,84.9,85,73
610524,ALCOTT HS,,2019,6,7.9,70,92.1,89,76
610524,ALCOTT HS,,2020,16,18,71,79.8,98,89
610524,ALCOTT HS,,2021,6,6.8,78,88.6,100,88
609695,AMUNDSEN HS,,2017,56,19.3,222,76.6,333,290
609695,AMUNDSEN HS,,2018,32,13.1,206,84.1,290,245
609695,AMUNDSEN HS,,2019,37,14,222,83.8,282,265
609695,AMUNDSEN HS,,2020,31,10.4,263,88.3,334,298
609695,AMUNDSEN HS,,2021,23,7.9,252,86.6,322,291
400172,ASPIRA - BUSINESS & FINANCE HS,,2017,,,,,,
400172,ASPIRA - BUSINESS & FINANCE HS,,2018,,,,,,
400172,ASPIRA - BUSINESS & FINANCE HS,,2019,,,,,,
400172,ASPIRA - BUSINESS & FINANCE HS,,2020,24,16.2,121,81.8,158,148
400172,ASPIRA - BUSINESS & FINANCE HS,,2021,14,8.8,141,88.7,169,159
400013,ASPIRA - EARLY COLLEGE HS,,2017,23,18.3,99,78.6,137,126
400013,ASPIRA - EARLY COLLEGE HS,,2018,29,23.2,94,75.2,101,125
400013,ASPIRA - EARLY COLLEGE HS,,2019,24,25.3,67,70.5,137,95
400013,ASPIRA - EARLY COLLEGE HS,,2020,21,22.6,68,73.1,99,93
400013,ASPIRA - EARLY COLLEGE HS,,2021,22,20.8,79,74.5,120,106
610518,AUSTIN CCA HS,,2017,18,18.8,76,79.2,105,96
610518,AUSTIN CCA HS,,2018,11,16.9,52,80,45,65
610518,AUSTIN CCA HS,,2019,12,36.4,20,60.6,81,33
610518,AUSTIN CCA HS,,2020,7,41.2,10,58.8,22,17
610518,AUSTIN CCA HS,,2021,11,22,34,68,62,50
610563,BACK OF THE YARDS HS,,2017,,,,,,
610563,BACK OF THE YARDS HS,,2018,14,5.2,250,93.6,276,267
610563,BACK OF THE YARDS HS,,2019,7,2.7,254,97.3,283,261
610563,BACK OF THE YARDS HS,,2020,9,3.6,240,96,261,250
610563,BACK OF THE YARDS HS,,2021,6,2.2,261,96.7,284,270
609698,BOGAN HS,,2017,46,20,173,75.2,268,230
609698,BOGAN HS,,2018,23,14,137,83.5,199,164
609698,BOGAN HS,,2019,29,16.3,139,78.1,200,178
609698,BOGAN HS,,2020,22,12.4,141,79.2,224,178
609698,BOGAN HS,,2021,24,14.7,126,77.3,189,163
610323,BOWEN HS,,2017,21,25,57,67.9,111,84
610323,BOWEN HS,,2018,25,27.8,60,66.7,84,90
610323,BOWEN HS,,2019,16,25.8,39,62.9,120,62
610323,BOWEN HS,,2020,20,26,49,63.6,101,77
610323,BOWEN HS,,2021,17,27.4,34,54.8,73,62
610381,BRONZEVILLE HS,,2017,25,21.7,88,76.5,130,115
610381,BRONZEVILLE HS,,2018,18,15.9,93,82.3,144,113
610381,BRONZEVILLE HS,,2019,12,10,103,85.8,128,120
610381,BRONZEVILLE HS,,2020,9,8.7,90,87.4,118,103
610381,BRONZEVILLE HS,,2021,6,11.5,42,80.8,58,52
609726,BROOKS HS,,2017,5,3,150,90.9,171,165
609726,BROOKS HS,,2018,3,1.6,181,97.3,197,186
609726,BROOKS HS,,2019,3,1.6,174,93,196,187
609726,BROOKS HS,,2020,7,3.2,208,94.1,234,221
609726,BROOKS HS,,2021,13,5.7,206,89.6,240,230
609760,CARVER MILITARY HS,,2017,9,6.9,118,90.1,143,131
609760,CARVER MILITARY HS,,2018,11,8.6,116,90.6,144,128
609760,CARVER MILITARY HS,,2019,5,3.8,127,96.2,138,132
609760,CARVER MILITARY HS,,2020,7,6.6,99,93.4,121,106
609760,CARVER MILITARY HS,,2021,3,2.1,133,95,149,140
400115,CATALYST - MARIA,,2017,27,15.5,142,81.6,179,174
400115,CATALYST - MARIA,,2018,22,14.6,122,80.8,151,151
400115,CATALYST - MARIA,,2019,25,17.7,110,78,162,141
400115,CATALYST - MARIA,,2020,10,7.3,122,89.1,149,137
400115,CATALYST - MARIA,,2021,8,6.7,101,84.2,141,120
400022,CHIARTS HS,,2017,15,10.7,119,85,146,140
400022,CHIARTS HS,,2018,22,15.2,122,84.1,170,145
400022,CHIARTS HS,,2019,24,14.3,144,85.7,148,168
400022,CHIARTS HS,,2020,16,11,127,87,147,146
400022,CHIARTS HS,,2021,18,11.8,132,86.3,155,153
610340,CHICAGO ACADEMY HS,,2017,14,11.3,108,87.1,136,124
610340,CHICAGO ACADEMY HS,,2018,16,12.8,107,85.6,144,125
610340,CHICAGO ACADEMY HS,,2019,13,9.6,115,85.2,139,135
610340,CHICAGO ACADEMY HS,,2020,18,12.8,120,85.1,147,141
610340,CHICAGO ACADEMY HS,,2021,7,5.3,123,93.9,141,131
609753,CHICAGO AGRICULTURE HS,,2017,9,5.2,146,83.9,186,174
609753,CHICAGO AGRICULTURE HS,,2018,7,4.3,147,91.3,201,161
609753,CHICAGO AGRICULTURE HS,,2019,7,3.9,154,85.1,172,181
609753,CHICAGO AGRICULTURE HS,,2020,11,6.3,154,88.5,190,174
609753,CHICAGO AGRICULTURE HS,,2021,6,3.7,134,82.7,176,162
400035,CHICAGO MATH & SCIENCE HS,,2017,7,9.1,67,87,83,77
400035,CHICAGO MATH & SCIENCE HS,,2018,12,11.5,90,86.5,105,104
400035,CHICAGO MATH & SCIENCE HS,,2019,12,12.5,82,85.4,111,96
400035,CHICAGO MATH & SCIENCE HS,,2020,5,6.6,71,93.4,82,76
400035,CHICAGO MATH & SCIENCE HS,,2021,8,11.6,61,88.4,81,69
609754,CHICAGO MILITARY HS,,2017,10,7.6,119,90.2,143,132
609754,CHICAGO MILITARY HS,,2018,11,12.2,78,86.7,130,90
609754,CHICAGO MILITARY HS,,2019,10,8.5,106,90.6,100,117
609754,CHICAGO MILITARY HS,,2020,4,7.4,47,87,58,54
609754,CHICAGO MILITARY HS,,2021,6,6.5,83,89.2,99,93
400091,CHICAGO TECH HS,,2017,24,18,103,77.4,143,133
400091,CHICAGO TECH HS,,2018,22,15.5,117,82.4,88,142
400091,CHICAGO TECH HS,,2019,8,9.9,72,88.9,156,81
400091,CHICAGO TECH HS,,2020,12,21.1,45,78.9,64,57
400091,CHICAGO TECH HS,,2021,3,5.3,54,94.7,63,57
609674,CHICAGO VOCATIONAL HS,,2017,45,19.2,180,76.9,287,234
609674,CHICAGO VOCATIONAL HS,,2018,72,25.2,199,69.6,273,286
609674,CHICAGO VOCATIONAL HS,,2019,46,19.6,174,74,356,235
609674,CHICAGO VOCATIONAL HS,,2020,36,17.4,165,79.7,248,207
609674,CHICAGO VOCATIONAL HS,,2021,19,11.3,123,73.2,211,168
400032,CICS - ELLISON HS,,2017,19,15.4,97,78.9,140,123
400032,CICS - ELLISON HS,,2018,22,23.4,67,71.3,121,94
400032,CICS - ELLISON HS,,2019,18,16.4,88,80,117,110
400032,CICS - ELLISON HS,,2020,19,16.5,91,79.1,130,115
400032,CICS - ELLISON HS,,2021,15,14,74,69.2,121,107
400033,CICS - LONGWOOD,,2017,30,23.3,96,74.4,147,129
400033,CICS - LONGWOOD,,2018,15,15.3,82,83.7,121,98
400033,CICS - LONGWOOD,,2019,12,11.7,88,85.4,124,103
400033,CICS - LONGWOOD,,2020,16,17.6,74,81.3,110,91
400033,CICS - LONGWOOD,,2021,12,11.9,82,81.2,122,101
400034,CICS - NORTHTOWN HS,,2017,23,10.4,190,85.6,244,222
400034,CICS - NORTHTOWN HS,,2018,18,7.4,212,87.6,240,242
400034,CICS - NORTHTOWN HS,,2019,12,5.6,199,92.1,262,216
400034,CICS - NORTHTOWN HS,,2020,13,6,199,92.1,243,216
400034,CICS - NORTHTOWN HS,,2021,10,4.3,212,91.8,265,231
610244,CLARK HS,,2017,14,12.7,92,83.6,122,110
610244,CLARK HS,,2018,15,12.2,105,85.4,165,123
610244,CLARK HS,,2019,18,11.7,129,83.8,134,154
610244,CLARK HS,,2020,11,8.3,113,85.6,154,132
610244,CLARK HS,,2021,13,8.6,126,82.9,168,152
609759,CLEMENTE HS,,2017,24,15.9,124,82.1,176,151
609759,CLEMENTE HS,,2018,30,24.6,88,72.1,241,122
609759,CLEMENTE HS,,2019,31,14.9,172,82.7,137,208
609759,CLEMENTE HS,,2020,28,13.1,180,84.5,239,213
609759,CLEMENTE HS,,2021,15,8.8,146,85.9,195,170
610499,COLLINS HS,,2017,34,34.3,59,59.6,114,99
610499,COLLINS HS,,2018,18,21.7,58,69.9,138,83
610499,COLLINS HS,,2019,48,37.2,78,60.5,90,129
610499,COLLINS HS,,2020,21,33.9,39,62.9,66,62
610499,COLLINS HS,,2021,15,24.6,37,60.7,67,61
609761,CORLISS HS,,2017,35,31,66,58.4,144,113
609761,CORLISS HS,,2018,27,27.6,66,67.3,117,98
609761,CORLISS HS,,2019,28,28.3,67,67.7,120,99
609761,CORLISS HS,,2020,22,25.6,59,68.6,95,86
609761,CORLISS HS,,2021,20,32.8,38,62.3,75,61
610561,CRANE MEDICAL HS,,2017,,,,,,
610561,CRANE MEDICAL HS,,2018,7,5.3,124,93.9,186,132
610561,CRANE MEDICAL HS,,2019,17,10.2,149,89.2,146,167
610561,CRANE MEDICAL HS,,2020,14,9.1,139,90.3,201,154
610561,CRANE MEDICAL HS,,2021,15,10.4,124,86.1,182,144
609756,CURIE HS,,2017,127,16.8,597,79.2,810,754
609756,CURIE HS,,2018,130,17.2,598,79.2,937,755
609756,CURIE HS,,2019,144,16.2,699,78.8,820,887
609756,CURIE HS,,2020,116,15.8,578,78.5,785,736
609756,CURIE HS,,2021,110,15.6,529,75.1,755,704
610564,DISNEY II HS,,2017,,,,,,
610564,DISNEY II HS,,2018,19,13.4,121,85.2,147,142
610564,DISNEY II HS,,2019,19,14.1,110,81.5,147,135
610564,DISNEY II HS,,2020,8,7.2,101,91,131,111
610564,DISNEY II HS,,2021,6,4.8,116,92.1,147,126
610245,DOUGLASS HS,,2017,22,32.8,43,64.2,78,67
610245,DOUGLASS HS,,2018,25,46.3,27,50,63,54
610245,DOUGLASS HS,,2019,19,33.9,36,64.3,71,56
610245,DOUGLASS HS,,2020,10,30.3,23,69.7,48,33
610245,DOUGLASS HS,,2021,7,26.9,18,69.2,29,26
