School ID,School Name,Year,Graduates,Enrollments,Enrollment Pct
400013,ASPIRA - EARLY COLLEGE HS,2010,0,0,0
400013,ASPIRA - EARLY COLLEGE HS,2011,113,57,0.504
400013,ASPIRA - EARLY COLLEGE HS,2012,87,46,0.529
400013,ASPIRA - EARLY COLLEGE HS,2013,49,35,0.714
400013,ASPIRA - EARLY COLLEGE HS,2014,112,45,0.402
400013,ASPIRA - EARLY COLLEGE HS,2015,78,23,0.295
400013,ASPIRA - EARLY COLLEGE HS,2017,93,50,0.538
400013,ASPIRA - EARLY COLLEGE HS,2018,83,49,0.59
400013,ASPIRA - EARLY COLLEGE HS,2019,75,30,0.4
400013,ASPIRA - EARLY COLLEGE HS,2020,82,25,0.305
400013,ASPIRA - EARLY COLLEGE HS,2016,103,57,0.553
400017,ASPIRA - HAUGAN,2010,0,0,0
400017,ASPIRA - HAUGAN,2011,0,0,0
400017,ASPIRA - HAUGAN,2012,0,0,0
400017,ASPIRA - HAUGAN,2013,0,0,0
400017,ASPIRA - HAUGAN,2014,0,0,0
400017,ASPIRA - HAUGAN,2015,0,0,0
400017,ASPIRA - HAUGAN,2017,0,0,0
400017,ASPIRA - HAUGAN,2018,0,0,0
400017,ASPIRA - HAUGAN,2019,0,0,0
400017,ASPIRA - HAUGAN,2020,1,,
400017,ASPIRA - HAUGAN,2016,0,0,0
400022,CHIARTS HS,2010,0,0,0
400022,CHIARTS HS,2011,0,0,0
400022,CHIARTS HS,2012,0,0,0
400022,CHIARTS HS,2013,129,92,0.713
400022,CHIARTS HS,2014,130,108,0.831
400022,CHIARTS HS,2015,113,90,0.796
400022,CHIARTS HS,2017,126,96,0.762
400022,CHIARTS HS,2018,146,117,0.801
400022,CHIARTS HS,2019,133,114,0.857
400022,CHIARTS HS,2020,139,102,0.734
400022,CHIARTS HS,2016,112,90,0.804
400032,CICS - ELLISON HS,2010,93,71,0.763
400032,CICS - ELLISON HS,2011,95,61,0.642
400032,CICS - ELLISON HS,2012,116,76,0.655
400032,CICS - ELLISON HS,2013,117,88,0.752
400032,CICS - ELLISON HS,2014,86,59,0.686
400032,CICS - ELLISON HS,2015,98,63,0.643
400032,CICS - ELLISON HS,2017,67,46,0.687
400032,CICS - ELLISON HS,2018,72,47,0.653
400032,CICS - ELLISON HS,2019,101,62,0.614
400032,CICS - ELLISON HS,2020,70,29,0.414
400032,CICS - ELLISON HS,2016,89,45,0.506
400033,CICS - LONGWOOD,2010,100,76,0.76
400033,CICS - LONGWOOD,2011,81,53,0.654
400033,CICS - LONGWOOD,2012,130,97,0.746
400033,CICS - LONGWOOD,2013,118,68,0.576
400033,CICS - LONGWOOD,2014,89,64,0.719
