Year,RCDTS,School Name,City,County,Title 1 Status,Student Attendance Rate,Student Mobility Rate,Student Chronic Truancy Rate,High School Dropout Rate - Total,School Type,Teacher Retention Rate
2020,050160150041011,Plum Grove Jr High School,Rolling Meadows,Cook,"Eligible, but Not a Participant in Title One Program",97.7,3.7,1.5,,MIDDLE SCHL,94.3
2020,050160150041014,Carl Sandburg Jr High School,Rolling Meadows,Cook,Schoolwide Title One Program,97,3.4,2.3,,MIDDLE SCHL,94.5
2020,050160150041016,Winston Campus Jr High,Palatine,Cook,Schoolwide Title One Program,96.5,6.5,7.1,,MIDDLE SCHL,79.1
2020,050160150041018,Walter R Sundling Jr High Sch,Palatine,Cook,"Eligible, but Not a Participant in Title One Program",96.7,4.6,2.6,,MIDDLE SCHL,94.5
2020,050160150042001,Jane Addams Elem School,Palatine,Cook,Schoolwide Title One Program,95.8,8.3,6.6,,ELEMENTARY,80
2020,050160150042003,Central Road Elem School,Rolling Meadows,Cook,Schoolwide Title One Program,97,8.6,2.1,,ELEMENTARY,88
2020,050160150042004,Marion Jordan Elem School,Palatine,Cook,"Eligible, but Not a Participant in Title One Program",97.1,4.6,3.5,,ELEMENTARY,90.8
2020,050160150042005,Kimball Hill Elem School,Rolling Meadows,Cook,Schoolwide Title One Program,96.7,4.2,3,,ELEMENTARY,83.5
2020,050160150042006,Hunting Ridge Elem School,Palatine,Cook,"Eligible, but Not a Participant in Title One Program",97.1,6.1,3.2,,ELEMENTARY,87.9
2020,050160150042007,Lake Louise Elem School,Palatine,Cook,Schoolwide Title One Program,96.5,11.9,5.1,,ELEMENTARY,75
2020,050160150042008,Lincoln Elementary School,Palatine,Cook,Schoolwide Title One Program,96.9,5.9,4.8,,ELEMENTARY,88.7
2020,050160150042009,Stuart R Paddock School,Palatine,Cook,Schoolwide Title One Program,97.2,5.7,2.6,,ELEMENTARY,85.8
2020,050160150042010,Pleasant Hill Elem School,Palatine,Cook,"Eligible, but Not a Participant in Title One Program",97.5,3.6,1.5,,ELEMENTARY,92.7
2020,050160150042013,Gray M Sanborn Elem School,Palatine,Cook,Schoolwide Title One Program,96,7.5,10.7,,ELEMENTARY,88.6
2020,050160150042015,Virginia Lake Elem School,Palatine,Cook,Schoolwide Title One Program,96,9.9,10,,ELEMENTARY,88.8
2020,050160150042018,Willow Bend Elem School,Rolling Meadows,Cook,"Eligible, but Not a Participant in Title One Program",97.2,12.5,3.7,,ELEMENTARY,94.8
2020,050160150042019,Winston Campus Elementary,Palatine,Cook,Schoolwide Title One Program,96.8,3.4,6.2,,ELEMENTARY,86.4
2020,050160150042020,Thomas Jefferson Elem School,Hoffman Estates,Cook,Schoolwide Title One Program,97.1,5.7,1.5,,ELEMENTARY,89
2020,050160150042023,Frank C Whiteley Elem School,Hoffman Estates,Cook,"Eligible, but Not a Participant in Title One Program",97.6,7.2,0.8,,ELEMENTARY,86.7
2020,050160210041002,Cooper Middle School,Buffalo Grove,Cook,"Eligible, but Not a Participant in Title One Program",96.6,4.2,0.3,,MIDDLE SCHL,96.5
2020,050160210041006,Oliver W Holmes Middle School,Wheeling,Cook,Schoolwide Title One Program,96.7,4.2,2.8,,MIDDLE SCHL,89.1
2020,050160210041007,Jack London Middle School,Wheeling,Cook,Schoolwide Title One Program,96.4,4.4,3.2,,MIDDLE SCHL,91.4
2020,050160210042003,Eugene Field Elem School,Wheeling,Cook,Schoolwide Title One Program,96.1,8.4,0,,ELEMENTARY,90.2
2020,050160210042004,Robert Frost Elem School,Mount Prospect,Cook,Schoolwide Title One Program,96.2,7.7,1.2,,ELEMENTARY,85.5
2020,050160210042007,Joyce Kilmer Elem School,Buffalo Grove,Cook,Schoolwide Title One Program,96.3,8.1,0.2,,ELEMENTARY,82.4
2020,050160210042009,Henry W Longfellow Elem School,Buffalo Grove,Cook,"Eligible, but Not a Participant in Title One Program",97.1,3.6,0,,ELEMENTARY,90.2
